event_id,timestamp,destination_port,flow_duration,total_fwd_packets,total_backward_packets,flow_bytes_per_sec,flow_packets_per_sec,protocol,source_ip,target_ip,scenario
ABRUTE-001,2026-05-11T13:18:05Z,22,24.710787,0.0,91.0,989.041749257116,3.68260225787224,tcp,192.168.56.102,192.168.56.101,ssh_bruteforce
ABRUTE-002,2026-05-11T13:43:28Z,22,24.801009,0.0,90.0,985.4437777108182,3.628884615138037,tcp,192.168.56.102,192.168.56.101,ssh_bruteforce
ABRUTE-003,2026-05-11T14:14:08Z,22,26.376064999999997,0.0,88.0,926.597655867166,3.3363581716984703,tcp,192.168.56.102,192.168.56.101,ssh_bruteforce
ABRUTE-004,2026-05-11T14:38:15Z,22,24.749753,0.0,90.0,987.4846023715874,3.636399926900281,tcp,192.168.56.102,192.168.56.101,ssh_bruteforce
ABRUTE-005,2026-05-11T15:08:14Z,22,28.167558,0.0,91.0,867.6648504637853,3.2306669964077113,tcp,192.168.56.102,192.168.56.101,ssh_bruteforce
ABRUTE-006,2026-05-11T17:33:44Z,22,24.72371,104.0,97.0,2011.3486204133603,8.129847826236434,tcp,192.168.56.102,192.168.56.101,ssh_bruteforce
ABRUTE-007,2026-05-11T16:01:01Z,22,24.658072,0.0,78.0,867.2616415427775,3.163264346052684,tcp,192.168.56.102,192.168.56.101,ssh_bruteforce
ABRUTE-008,2026-05-11T16:20:18Z,22,26.444195999999998,0.0,89.0,924.2103635898026,3.365577837949772,tcp,192.168.56.102,192.168.56.101,ssh_bruteforce
AFAIL-001,2026-05-11T13:08:10Z,22,7.046638,0.0,22.0,867.0801593611025,3.1220562202854754,tcp,192.168.56.102,192.168.56.101,ssh_failed_logins
AFAIL-002,2026-05-11T13:41:12Z,22,10.555434,0.0,34.0,868.2731567456156,3.221089724970096,tcp,192.168.56.102,192.168.56.101,ssh_failed_logins
AFAIL-003,2026-05-11T14:04:44Z,22,10.540901,0.0,33.0,869.4702663463019,3.1306621701503508,tcp,192.168.56.102,192.168.56.101,ssh_failed_logins
AFAIL-004,2026-05-11T14:36:08Z,22,10.560678,0.0,33.0,867.8420078710856,3.1247993736765767,tcp,192.168.56.102,192.168.56.101,ssh_failed_logins
