event_id,timestamp_start,timestamp_end,scenario,label,attack_type,source_ip,target_ip
BSSH-001,2026-05-11T12:41:16Z,2026-05-11T12:56:03Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-002,2026-05-11T12:58:24Z,2026-05-11T12:59:36Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-001,2026-05-11T13:01:03Z,2026-05-11T13:03:56Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
APORT-001,2026-05-11T13:06:21Z,2026-05-11T13:06:49Z,port_scan,attack,port_scan,192.168.56.102,192.168.56.101
AFAIL-001,2026-05-11T13:08:10Z,2026-05-11T13:09:16Z,ssh_failed_logins,attack,ssh_failed_logins,192.168.56.102,192.168.56.101
BPKG-002,2026-05-11T13:10:33Z,2026-05-11T13:12:44Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-003,2026-05-11T13:14:07Z,2026-05-11T13:14:41Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-003,2026-05-11T13:16:04Z,2026-05-11T13:16:41Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
ABRUTE-001,2026-05-11T13:18:05Z,2026-05-11T13:19:03Z,ssh_bruteforce,attack,ssh_bruteforce,192.168.56.102,192.168.56.101
AFIM-001,2026-05-11T13:20:26Z,2026-05-11T13:21:33Z,file_integrity_change,attack,file_integrity_change,192.168.56.102,192.168.56.101
BSSH-004,2026-05-11T13:22:58Z,2026-05-11T13:23:35Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-005,2026-05-11T13:24:57Z,2026-05-11T13:25:44Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-004,2026-05-11T13:27:10Z,2026-05-11T13:28:38Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
APRIV-001,2026-05-11T13:30:04Z,2026-05-11T13:31:01Z,privilege_change,attack,privilege_change,192.168.56.102,192.168.56.101
APORT-002,2026-05-11T13:32:21Z,2026-05-11T13:32:41Z,port_scan,attack,port_scan,192.168.56.102,192.168.56.101
BPKG-005,2026-05-11T13:34:04Z,2026-05-11T13:34:38Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-006,2026-05-11T13:35:57Z,2026-05-11T13:36:31Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-006,2026-05-11T13:38:22Z,2026-05-11T13:39:36Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
AFAIL-002,2026-05-11T13:41:12Z,2026-05-11T13:42:03Z,ssh_failed_logins,attack,ssh_failed_logins,192.168.56.102,192.168.56.101
ABRUTE-002,2026-05-11T13:43:28Z,2026-05-11T13:44:24Z,ssh_bruteforce,attack,ssh_bruteforce,192.168.56.102,192.168.56.101
