event_id,timestamp,scenario,description,expected_behavior,model_loaded,model_version,anomaly_score,threshold_name,threshold_value,ml_alert,rule_flag,rule_level,risk_level,reason
lab-001,2026-05-08T09:00:00Z,benign_activity,Normál HTTP böngészési jellegű flow,Alacsonyabb kockázati prioritás várható.,True,final-ae-minimal-v1,0.4494088747925252,f1_optimum,0.00018670961435418576,True,False,0,high,Az anomáliapontszám jelentősen meghaladja a kiválasztott küszöböt.
lab-002,2026-05-08T09:00:05Z,benign_activity,Normál HTTPS szolgáltatáselérés,Alacsonyabb kockázati prioritás várható.,True,final-ae-minimal-v1,0.44511022428295843,f1_optimum,0.00018670961435418576,True,False,0,high,Az anomáliapontszám jelentősen meghaladja a kiválasztott küszöböt.
lab-003,2026-05-08T09:00:10Z,benign_activity,DNS lekérdezés mérsékelt forgalommal,Alacsonyabb kockázati prioritás várható.,True,final-ae-minimal-v1,0.44814965515839245,f1_optimum,0.00018670961435418576,True,False,0,high,Az anomáliapontszám jelentősen meghaladja a kiválasztott küszöböt.
lab-004,2026-05-08T09:00:15Z,benign_activity,Rövid belső alkalmazásforgalom,Alacsonyabb kockázati prioritás várható.,True,final-ae-minimal-v1,0.22196605163908525,f1_optimum,0.00018670961435418576,True,False,0,high,Az anomáliapontszám jelentősen meghaladja a kiválasztott küszöböt.
lab-005,2026-05-08T09:01:00Z,port_scan,Rövid kapcsolat FTP portra port scan jelleggel,Legalább közepes kockázati prioritás várható.,True,final-ae-minimal-v1,0.44827212856531556,f1_optimum,0.00018670961435418576,True,True,5,critical,Szabályalapú jelzés és ML riasztás egyszerre jelentkezett.
lab-006,2026-05-08T09:01:03Z,port_scan,Rövid kapcsolat Telnet portra port scan jelleggel,Legalább közepes kockázati prioritás várható.,True,final-ae-minimal-v1,0.4481844849942787,f1_optimum,0.00018670961435418576,True,True,5,critical,Szabályalapú jelzés és ML riasztás egyszerre jelentkezett.
lab-007,2026-05-08T09:01:06Z,port_scan,Rövid kapcsolat SMTP portra port scan jelleggel,Legalább közepes kockázati prioritás várható.,True,final-ae-minimal-v1,0.44829734841108093,f1_optimum,0.00018670961435418576,True,True,5,critical,Szabályalapú jelzés és ML riasztás egyszerre jelentkezett.
lab-008,2026-05-08T09:01:09Z,port_scan,Rövid kapcsolat magas portra port scan jelleggel,Magasabb kockázati prioritás várható.,True,final-ae-minimal-v1,0.16909740741319967,f1_optimum,0.00018670961435418576,True,True,5,critical,Szabályalapú jelzés és ML riasztás egyszerre jelentkezett.
lab-009,2026-05-08T09:02:00Z,ssh_bruteforce,Ismétlődő SSH kapcsolati kísérlet,Magas vagy kritikus kockázati prioritás várható.,True,final-ae-minimal-v1,0.4504389447360983,f1_optimum,0.00018670961435418576,True,True,10,critical,Szabályalapú jelzés és ML riasztás egyszerre jelentkezett.
lab-010,2026-05-08T09:02:04Z,ssh_bruteforce,Második SSH brute force jellegű kísérlet,Magas vagy kritikus kockázati prioritás várható.,True,final-ae-minimal-v1,0.45057263428054944,f1_optimum,0.00018670961435418576,True,True,10,critical,Szabályalapú jelzés és ML riasztás egyszerre jelentkezett.
lab-011,2026-05-08T09:02:08Z,ssh_bruteforce,Harmadik SSH brute force jellegű kísérlet,Magas vagy kritikus kockázati prioritás várható.,True,final-ae-minimal-v1,0.4510107701971432,f1_optimum,0.00018670961435418576,True,True,10,critical,Szabályalapú jelzés és ML riasztás egyszerre jelentkezett.
lab-012,2026-05-08T09:02:12Z,ssh_bruteforce,Negyedik SSH brute force jellegű kísérlet,Magas vagy kritikus kockázati prioritás várható.,True,final-ae-minimal-v1,0.4513954529524539,f1_optimum,0.00018670961435418576,True,True,10,critical,Szabályalapú jelzés és ML riasztás egyszerre jelentkezett.
lab-013,2026-05-08T09:03:00Z,combined_suspicious,Magas csomagráta és szabályjelzés RDP jellegű portra,Kritikus vagy magas kockázati prioritás várható.,True,final-ae-minimal-v1,0.4031796979483884,f1_optimum,0.00018670961435418576,True,True,10,critical,Szabályalapú jelzés és ML riasztás egyszerre jelentkezett.
lab-014,2026-05-08T09:03:04Z,combined_suspicious,Magas port és intenzív forgalmi arány,Kritikus vagy magas kockázati prioritás várható.,True,final-ae-minimal-v1,0.16522972335661465,f1_optimum,0.00018670961435418576,True,True,10,critical,Szabályalapú jelzés és ML riasztás egyszerre jelentkezett.
lab-015,2026-05-08T09:03:08Z,combined_suspicious,Rövid UDP flow magas csomagrátával,Legalább közepes kockázati prioritás várható.,True,final-ae-minimal-v1,0.4492578979125752,f1_optimum,0.00018670961435418576,True,True,5,critical,Szabályalapú jelzés és ML riasztás egyszerre jelentkezett.
lab-016,2026-05-08T09:03:12Z,combined_suspicious,Webes porton szokatlanul nagy forgalmi intenzitás,Legalább közepes kockázati prioritás várható.,True,final-ae-minimal-v1,0.4444122081283152,f1_optimum,0.00018670961435418576,True,True,5,critical,Szabályalapú jelzés és ML riasztás egyszerre jelentkezett.
lab-017,2026-05-08T09:04:00Z,benign_activity,"Hosszabb, kiegyensúlyozott HTTPS flow",Alacsonyabb kockázati prioritás várható.,True,final-ae-minimal-v1,0.447465611892583,f1_optimum,0.00018670961435418576,True,False,0,high,Az anomáliapontszám jelentősen meghaladja a kiválasztott küszöböt.
lab-018,2026-05-08T09:04:04Z,port_scan,Rövid kapcsolat adminisztrációs portra,Magasabb kockázati prioritás várható.,True,final-ae-minimal-v1,0.2094623509517733,f1_optimum,0.00018670961435418576,True,True,5,critical,Szabályalapú jelzés és ML riasztás egyszerre jelentkezett.
lab-019,2026-05-08T09:04:08Z,ssh_bruteforce,Ötödik SSH brute force jellegű kísérlet,Magas vagy kritikus kockázati prioritás várható.,True,final-ae-minimal-v1,0.45184621929972074,f1_optimum,0.00018670961435418576,True,True,10,critical,Szabályalapú jelzés és ML riasztás egyszerre jelentkezett.
lab-020,2026-05-08T09:04:12Z,combined_suspicious,"Magas port, szabályjelzés és intenzív forgalom",Kritikus vagy magas kockázati prioritás várható.,True,final-ae-minimal-v1,0.17025013687722798,f1_optimum,0.00018670961435418576,True,True,10,critical,Szabályalapú jelzés és ML riasztás egyszerre jelentkezett.
