threshold,precision,recall,f1
13.126907348632812,0.6666666666666666,1.0,0.8
38.06651037781682,1.0,1.0,1.0
63.006113407000825,1.0,1.0,1.0
87.94571643618482,1.0,1.0,1.0
112.88531946536884,1.0,1.0,1.0
137.82492249455285,1.0,1.0,1.0
162.76452552373684,1.0,1.0,1.0
187.70412855292085,1.0,1.0,1.0
212.64373158210486,1.0,1.0,1.0
237.58333461128888,1.0,1.0,1.0
262.5229376404729,1.0,1.0,1.0
287.4625406696569,1.0,1.0,1.0
312.40214369884086,1.0,1.0,1.0
337.3417467280249,1.0,1.0,1.0
362.2813497572089,1.0,1.0,1.0
387.2209527863929,1.0,1.0,1.0
412.1605558155769,1.0,1.0,1.0
437.1001588447609,1.0,1.0,1.0
462.03976187394494,1.0,1.0,1.0
486.97936490312895,1.0,1.0,1.0
511.91896793231297,1.0,1.0,1.0
536.858570961497,1.0,1.0,1.0
561.798173990681,1.0,1.0,1.0
586.737777019865,1.0,1.0,1.0
611.6773800490489,1.0,1.0,1.0
636.6169830782329,1.0,1.0,1.0
661.5565861074169,1.0,1.0,1.0
686.496189136601,1.0,1.0,1.0
711.435792165785,1.0,1.0,1.0
736.375395194969,1.0,1.0,1.0
761.314998224153,1.0,1.0,1.0
786.254601253337,1.0,1.0,1.0
811.194204282521,1.0,1.0,1.0
836.133807311705,1.0,1.0,1.0
861.073410340889,1.0,1.0,1.0
886.013013370073,1.0,1.0,1.0
910.9526163992571,1.0,1.0,1.0
935.8922194284411,1.0,1.0,1.0
960.8318224576251,1.0,1.0,1.0
985.7714254868091,1.0,1.0,1.0
1010.7110285159931,1.0,1.0,1.0
1035.650631545177,1.0,1.0,1.0
1060.5902345743611,1.0,1.0,1.0
1085.529837603545,1.0,1.0,1.0
1110.4694406327292,1.0,1.0,1.0
1135.409043661913,1.0,1.0,1.0
1160.3486466910972,1.0,1.0,1.0
1185.288249720281,1.0,1.0,1.0
1210.227852749465,1.0,1.0,1.0
1235.1674557786491,1.0,1.0,1.0
1260.107058807833,1.0,1.0,1.0
1285.0466618370172,1.0,1.0,1.0
1309.986264866201,1.0,1.0,1.0
1334.9258678953852,1.0,1.0,1.0
1359.865470924569,1.0,1.0,1.0
1384.8050739537532,1.0,1.0,1.0
1409.744676982937,1.0,1.0,1.0
1434.6842800121212,1.0,1.0,1.0
1459.6238830413051,1.0,1.0,1.0
1484.5634860704893,1.0,1.0,1.0
1509.5030890996732,1.0,1.0,1.0
1534.4426921288573,1.0,1.0,1.0
1559.3822951580412,1.0,1.0,1.0
1584.3218981872253,1.0,1.0,1.0
1609.2615012164092,1.0,1.0,1.0
1634.2011042455931,1.0,1.0,1.0
1659.1407072747772,1.0,1.0,1.0
1684.0803103039611,1.0,1.0,1.0
1709.0199133331453,1.0,1.0,1.0
1733.9595163623292,1.0,1.0,1.0
1758.8991193915133,1.0,1.0,1.0
1783.8387224206972,1.0,1.0,1.0
1808.7783254498813,1.0,1.0,1.0
1833.7179284790652,1.0,1.0,1.0
1858.6575315082493,1.0,1.0,1.0
1883.5971345374332,1.0,1.0,1.0
1908.5367375666174,1.0,1.0,1.0
1933.4763405958013,1.0,1.0,1.0
1958.4159436249854,1.0,1.0,1.0
1983.3555466541693,1.0,1.0,1.0
2008.2951496833534,1.0,1.0,1.0
2033.2347527125373,1.0,1.0,1.0
2058.1743557417212,1.0,1.0,1.0
2083.1139587709054,1.0,1.0,1.0
2108.0535618000895,1.0,1.0,1.0
2132.993164829273,1.0,1.0,1.0
2157.9327678584573,1.0,1.0,1.0
2182.8723708876414,1.0,1.0,1.0
2207.8119739168255,1.0,1.0,1.0
2232.751576946009,1.0,1.0,1.0
2257.6911799751933,1.0,1.0,1.0
2282.6307830043775,1.0,1.0,1.0
2307.5703860335616,1.0,1.0,1.0
2332.5099890627453,1.0,1.0,1.0
2357.4495920919294,1.0,1.0,1.0
2382.3891951211135,1.0,1.0,1.0
2407.328798150297,1.0,1.0,1.0
2432.2684011794813,1.0,1.0,1.0
2457.2080042086654,1.0,1.0,1.0
2482.1476072378496,1.0,1.0,1.0
2507.0872102670332,1.0,1.0,1.0
2532.0268132962174,1.0,1.0,1.0
2556.9664163254015,1.0,1.0,1.0
2581.9060193545856,1.0,1.0,1.0
2606.8456223837693,1.0,1.0,1.0
2631.7852254129534,1.0,1.0,1.0
2656.7248284421376,1.0,1.0,1.0
2681.6644314713217,1.0,1.0,1.0
2706.6040345005053,1.0,1.0,1.0
2731.5436375296895,1.0,1.0,1.0
2756.4832405588736,1.0,1.0,1.0
2781.4228435880577,1.0,1.0,1.0
2806.3624466172414,1.0,1.0,1.0
2831.3020496464255,1.0,1.0,1.0
2856.2416526756097,1.0,1.0,1.0
2881.1812557047933,1.0,1.0,1.0
2906.1208587339775,1.0,1.0,1.0
2931.0604617631616,1.0,1.0,1.0
2956.0000647923457,1.0,1.0,1.0
2980.9396678215294,1.0,1.0,1.0
3005.8792708507135,1.0,1.0,1.0
3030.8188738798976,1.0,1.0,1.0
3055.7584769090818,1.0,1.0,1.0
3080.6980799382654,1.0,1.0,1.0
3105.6376829674496,1.0,1.0,1.0
3130.5772859966337,1.0,1.0,1.0
3155.516889025818,1.0,1.0,1.0
3180.4564920550015,1.0,1.0,1.0
3205.3960950841856,1.0,1.0,1.0
3230.3356981133697,1.0,1.0,1.0
3255.2753011425534,1.0,1.0,1.0
3280.2149041717375,1.0,1.0,1.0
3305.1545072009217,1.0,1.0,1.0
3330.094110230106,1.0,1.0,1.0
3355.0337132592895,1.0,1.0,1.0
3379.9733162884736,1.0,1.0,1.0
3404.9129193176577,1.0,1.0,1.0
3429.852522346842,1.0,1.0,1.0
3454.7921253760255,1.0,1.0,1.0
3479.7317284052097,1.0,1.0,1.0
3504.671331434394,1.0,1.0,1.0
3529.610934463578,1.0,1.0,1.0
3554.5505374927616,1.0,1.0,1.0
3579.4901405219457,1.0,1.0,1.0
3604.42974355113,1.0,1.0,1.0
3629.3693465803135,1.0,1.0,1.0
3654.3089496094976,1.0,1.0,1.0
3679.2485526386818,1.0,1.0,1.0
3704.188155667866,1.0,1.0,1.0
3729.1277586970496,1.0,1.0,1.0
3754.0673617262337,1.0,1.0,1.0
3779.006964755418,1.0,1.0,1.0
3803.946567784602,1.0,1.0,1.0
3828.8861708137856,1.0,1.0,1.0
3853.8257738429697,1.0,1.0,1.0
3878.765376872154,1.0,1.0,1.0
3903.704979901338,1.0,1.0,1.0
3928.6445829305217,1.0,1.0,1.0
3953.584185959706,1.0,1.0,1.0
3978.52378898889,1.0,1.0,1.0
4003.463392018074,1.0,1.0,1.0
4028.4029950472577,1.0,1.0,1.0
4053.342598076442,1.0,1.0,1.0
4078.282201105626,1.0,1.0,1.0
4103.22180413481,1.0,1.0,1.0
4128.161407163994,1.0,1.0,1.0
4153.101010193178,1.0,1.0,1.0
4178.040613222362,1.0,1.0,1.0
4202.980216251546,1.0,1.0,1.0
4227.91981928073,1.0,1.0,1.0
4252.8594223099135,1.0,1.0,1.0
4277.799025339098,1.0,1.0,1.0
4302.738628368282,1.0,0.5,0.6666666666666666
4327.678231397466,1.0,0.5,0.6666666666666666
4352.61783442665,1.0,0.5,0.6666666666666666
4377.557437455834,1.0,0.5,0.6666666666666666
