event_id,timestamp_start,timestamp_end,scenario,label,attack_type,source_ip,target_ip
BSSH-001,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-002,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-001,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
APORT-001,,,port_scan,attack,port_scan,192.168.56.102,192.168.56.101
AFAIL-001,,,ssh_failed_logins,attack,ssh_failed_logins,192.168.56.102,192.168.56.101
BPKG-002,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-003,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-003,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
ABRUTE-001,,,ssh_bruteforce,attack,ssh_bruteforce,192.168.56.102,192.168.56.101
AFIM-001,,,file_integrity_change,attack,file_integrity_change,192.168.56.102,192.168.56.101
BSSH-004,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-005,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-004,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
APRIV-001,,,privilege_change,attack,privilege_change,192.168.56.102,192.168.56.101
APORT-002,,,port_scan,attack,port_scan,192.168.56.102,192.168.56.101
BPKG-005,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-006,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-006,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
AFAIL-002,,,ssh_failed_logins,attack,ssh_failed_logins,192.168.56.102,192.168.56.101
ABRUTE-002,,,ssh_bruteforce,attack,ssh_bruteforce,192.168.56.102,192.168.56.101
BSSH-007,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-008,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-007,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
AFIM-002,,,file_integrity_change,attack,file_integrity_change,192.168.56.102,192.168.56.101
APRIV-002,,,privilege_change,attack,privilege_change,192.168.56.102,192.168.56.101
BPKG-008,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-009,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-009,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
APORT-003,,,port_scan,attack,port_scan,192.168.56.102,192.168.56.101
AFAIL-003,,,ssh_failed_logins,attack,ssh_failed_logins,192.168.56.102,192.168.56.101
BSSH-010,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-011,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-010,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
ABRUTE-003,,,ssh_bruteforce,attack,ssh_bruteforce,192.168.56.102,192.168.56.101
AFIM-003,,,file_integrity_change,attack,file_integrity_change,192.168.56.102,192.168.56.101
BPKG-011,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-012,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-012,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
APRIV-003,,,privilege_change,attack,privilege_change,192.168.56.102,192.168.56.101
APORT-004,,,port_scan,attack,port_scan,192.168.56.102,192.168.56.101
BSSH-013,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-014,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-013,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
AFAIL-004,,,ssh_failed_logins,attack,ssh_failed_logins,192.168.56.102,192.168.56.101
ABRUTE-004,,,ssh_bruteforce,attack,ssh_bruteforce,192.168.56.102,192.168.56.101
BPKG-014,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-015,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-015,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
AFIM-004,,,file_integrity_change,attack,file_integrity_change,192.168.56.102,192.168.56.101
APRIV-004,,,privilege_change,attack,privilege_change,192.168.56.102,192.168.56.101
BSSH-016,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-017,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-016,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
APORT-005,,,port_scan,attack,port_scan,192.168.56.102,192.168.56.101
AFAIL-005,,,ssh_failed_logins,attack,ssh_failed_logins,192.168.56.102,192.168.56.101
BPKG-017,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-018,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-018,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
ABRUTE-005,,,ssh_bruteforce,attack,ssh_bruteforce,192.168.56.102,192.168.56.101
AFIM-005,,,file_integrity_change,attack,file_integrity_change,192.168.56.102,192.168.56.101
BSSH-019,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-020,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-019,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
APRIV-005,,,privilege_change,attack,privilege_change,192.168.56.102,192.168.56.101
APORT-006,,,port_scan,attack,port_scan,192.168.56.102,192.168.56.101
BPKG-020,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-021,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-021,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
AFAIL-006,,,ssh_failed_logins,attack,ssh_failed_logins,192.168.56.102,192.168.56.101
ABRUTE-006,,,ssh_bruteforce,attack,ssh_bruteforce,192.168.56.102,192.168.56.101
BSSH-022,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-023,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-022,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
AFIM-006,,,file_integrity_change,attack,file_integrity_change,192.168.56.102,192.168.56.101
APRIV-006,,,privilege_change,attack,privilege_change,192.168.56.102,192.168.56.101
BPKG-023,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-024,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-024,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
APORT-007,,,port_scan,attack,port_scan,192.168.56.102,192.168.56.101
AFAIL-007,,,ssh_failed_logins,attack,ssh_failed_logins,192.168.56.102,192.168.56.101
BSSH-025,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-026,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-025,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
ABRUTE-007,,,ssh_bruteforce,attack,ssh_bruteforce,192.168.56.102,192.168.56.101
AFIM-007,,,file_integrity_change,attack,file_integrity_change,192.168.56.102,192.168.56.101
BPKG-026,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-027,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-027,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
APRIV-007,,,privilege_change,attack,privilege_change,192.168.56.102,192.168.56.101
APORT-008,,,port_scan,attack,port_scan,192.168.56.102,192.168.56.101
BSSH-028,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-029,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-028,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
AFAIL-008,,,ssh_failed_logins,attack,ssh_failed_logins,192.168.56.102,192.168.56.101
ABRUTE-008,,,ssh_bruteforce,attack,ssh_bruteforce,192.168.56.102,192.168.56.101
BPKG-029,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-030,,,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-030,,,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
AFIM-008,,,file_integrity_change,attack,file_integrity_change,192.168.56.102,192.168.56.101
APRIV-008,,,privilege_change,attack,privilege_change,192.168.56.102,192.168.56.101
